CertificationStatus_Chart_SeriesGroup_label,CertificationStatus_Chart_SeriesGroup_CertificationStatus_Chart_CategoryGroup_label,CertificationStatus_Chart_SeriesGroup_CertificationStatus_Chart_CategoryGroup_Value_X,CertificationStatus_Chart_SeriesGroup_CertificationStatus_Chart_CategoryGroup_Value_Y,,
WASHINGTON MONTESSORI  (6010),2015,2015,98.5,,
WASHINGTON MONTESSORI  (6010),2016,2016,97.8,,
WASHINGTON MONTESSORI  (6010),2017,2017,0,,
WILKINSON EARLY CHILDHOOD CTR.  (6030),2013,2013,97,,
WILKINSON EARLY CHILDHOOD CTR.  (6030),2014,2014,100,,
WILKINSON EARLY CHILDHOOD CTR.  (6030),2015,2015,96.9,,
WILKINSON EARLY CHILDHOOD CTR.  (6030),2016,2016,96.3,,
WILKINSON EARLY CHILDHOOD CTR.  (6030),2017,2017,0,,
WOERNER ELEM.  (5970),2013,2013,97,,
WOERNER ELEM.  (5970),2014,2014,100,,
WOERNER ELEM.  (5970),2015,2015,100,,
WOERNER ELEM.  (5970),2016,2016,100,,
WOERNER ELEM.  (5970),2017,2017,0,,
WOODWARD ELEM.  (6120),2013,2013,100,,
WOODWARD ELEM.  (6120),2014,2014,100,,
WOODWARD ELEM.  (6120),2015,2015,94.9,,
WOODWARD ELEM.  (6120),2016,2016,100,,
WOODWARD ELEM.  (6120),2017,2017,0,,
YEATMAN-LIDDELL MIDDLE SCHOOL  (2080),2013,2013,93.2,,
YEATMAN-LIDDELL MIDDLE SCHOOL  (2080),2014,2014,78.7,,
YEATMAN-LIDDELL MIDDLE SCHOOL  (2080),2015,2015,83.8,,
YEATMAN-LIDDELL MIDDLE SCHOOL  (2080),2016,2016,65.5,,
YEATMAN-LIDDELL MIDDLE SCHOOL  (2080),2017,2017,0,,
,,,,,
SCHOOL_NAME,YEAR,Teachers_with_Regular_Certificates,Teachers_with_Temporary_or_Special_Assignment_Certificates,Teachers_with_Substitute_Expired_or_No_Certificates,Percent_of_Classes_Taught_by_Highly_Qualified_Teachers
ACAD OF ENVT SCI/MATH ELEM  (4990),2013,97.8,0,2,85
ACAD OF ENVT SCI/MATH ELEM  (4990),2014,100,0,0,72
ACAD OF ENVT SCI/MATH ELEM  (4990),2015,91.7,0,8,66
